window_key;OW_events
268345112;[57 60]
2935442080;[60 27]
84696351;[]
638357778;[35]
4292604838;[43 40]
1007465396;[57]
1413506807;[43 40 43]
3222007936;[69]
1322549491;[57 60 57]
2432113510;[60 57]
651817588;[40 43]
3339451269;[66]
957132539;[60]
2232977108;[40 43 40]
2935294985;[61 27]
3884369373;[57 60 57 60]
2118749985;[31 34 31]
1909655188;[27 43 31]
655135397;[34]
940354920;[61]
1676973560;[61 64]
772578730;[43]
269250160;[21]
504136826;[27]
437026350;[31]
1127123764;[64 47 44]
2750553235;[30 27 31 34]
1279907088;[118 121]
1162757945;[112 108]
2829259296;[18 21]
4228665076;[121]
3783852420;[34 31 34]
3021404085;[60 57 60 57]
153595051;[60 57 60 57 60]
453803969;[30]
1231001254;[121 118]
688690635;[44]
2540641274;[ 7 56]
2166165302;[  8 122   5]
1809100442;[57 60 38]
755801111;[40]
4077666505;[118]
331909994;[35 60]
1783645977;[37 30 57]
4117086640;[ 28  69 125  35  66]
1133844597;[220 217 220 217]
1807898915;[30 27 31]
2399145646;[60 57 60]
2141376917;[18 66]
2413094726;[ 57  60 122]
2797675534;[38 35]
1618641165;[121 118 121]
1421072133;[ 27 125]
4161554600;[125]
1062865044;[57 29 60 57 36 60]
705468254;[47]
3503097408;[ 69  30 122]
521376713;[27 64 66 30 61]
1408850347;[57 35 60]
2916410328;[217 220]
2981390700;[27 30]
3305896031;[64]
1493913179;[220]
867676743;[64 31 61]
3488491181;[118  61 121  64]
588024921;[38]
205810961;[35 38 35 38]
1346021160;[118 121  40]
995249459;[ 5 14 43]
2932643494;[220 217]
898945483;[34 31 44 47]
1964923703;[ 43 118  40 121]
275085645;[25 22 25 12 44]
518876564;[48 51]
403471112;[29]
3826925561;[122 125 122 125]
3871450033;[18 38 35 21]
852163278;[34 31]
909379719;[ 5 14 38 47  8 17 35]
924282404;[  7 122   3 124  10 119   3 124  10 119]
2779612929;[34 31 34 31]
1421317991;[125  17 122  14]
123905439;[40 43 40 43 40]
2661474304;[  5  14 121  17   8]
906102357;[27 30 27]
2328701094;[32 37 31 33]
3760572953;[69 66 69]
279605661;[31 33]
2009226803;[35 38 61]
432575708;[35 38]
246050423;[31 35]
3249916139;[ 18  21 105]
2645634059;[220  57  60 217 220]
2831716873;[37 32 38 33]
2998168319;[27 31]
937263520;[ 66 101]
4218726870;[60 57 60 57 60 57]
2762835310;[34 31 34 30]
